t_us,state,A_deg,f_hz,status,Fx,Fy,Fz,Mx,My,Mz,target_angle
12584,gap,30,1,64,-1.055,-0.645,1.61,,,,0
13474,gap,30,1,64,-1.045,-0.65,1.6,,,,0
14457,gap,30,1,64,-1.055,-0.655,1.595,,,,0
15114,gap,30,1,64,-1.055,-0.645,1.61,,,,0
20010,gap,30,1,64,-1.02,-0.65,1.605,,,,0
25001,gap,30,1,64,-1.04,-0.65,1.595,,,,0
30039,gap,30,1,64,-1.07,-0.65,1.61,,,,0
35093,gap,30,1,64,-1.045,-0.645,1.625,,,,0
40032,gap,30,1,64,-1.05,-0.64,1.6,,,,0
45045,gap,30,1,64,-1.05,-0.65,1.605,,,,0
50005,gap,30,1,64,-1.035,-0.66,1.6,,,,0
55115,gap,30,1,64,-1.03,-0.665,1.615,,,,0
60037,gap,30,1,64,-1.055,-0.665,1.61,,,,0
65031,gap,30,1,64,-1.04,-0.645,1.61,,,,0
70051,gap,30,1,64,-1.04,-0.645,1.605,,,,0
75106,gap,30,1,64,-1.04,-0.66,1.61,,,,0
80061,gap,30,1,64,-1.045,-0.64,1.59,,,,0
85010,gap,30,1,64,-1.055,-0.65,1.605,,,,0
90028,gap,30,1,64,-1.04,-0.65,1.6,,,,0
95054,gap,30,1,64,-1.05,-0.655,1.61,,,,0
100025,gap,30,1,64,-1.045,-0.655,1.595,,,,0
105000,gap,30,1,64,-1.055,-0.665,1.605,,,,0
110276,gap,30,1,64,-1.035,-0.665,1.61,,,,0
115039,gap,30,1,64,-1.03,-0.655,1.6,,,,0
120078,gap,30,1,64,-1.06,-0.63,1.615,,,,0
125021,gap,30,1,64,-1.045,-0.65,1.605,,,,0
130030,gap,30,1,64,-1.025,-0.62,1.61,,,,0
135009,gap,30,1,64,-1.07,-0.685,1.61,,,,0
140033,gap,30,1,64,-1.06,-0.645,1.62,,,,0
145003,gap,30,1,64,-1.05,-0.64,1.6,,,,0
150898,gap,30,1,64,-1.045,-0.66,1.605,,,,0
155018,gap,30,1,64,-1.025,-0.655,1.605,,,,0
161097,gap,30,1,64,-1.03,-0.66,1.595,,,,0
165087,gap,30,1,64,-1.05,-0.645,1.61,,,,0
170089,gap,30,1,64,-1.055,-0.645,1.615,,,,0
175134,gap,30,1,64,-1.05,-0.64,1.62,,,,0
180001,gap,30,1,64,-1.055,-0.65,1.615,,,,0
185953,gap,30,1,64,-1.05,-0.67,1.61,,,,0
190007,gap,30,1,64,-1.05,-0.645,1.6,,,,0
195004,gap,30,1,64,-1.035,-0.65,1.615,,,,0
200092,gap,30,1,64,-1.06,-0.655,1.61,,,,0
205212,gap,30,1,64,-1.065,-0.66,1.615,,,,0
210021,gap,30,1,64,-1.055,-0.63,1.605,,,,0
215324,gap,30,1,64,-1.055,-0.645,1.61,,,,0
220041,gap,30,1,64,-1.05,-0.66,1.62,,,,0
225032,gap,30,1,64,-1.05,-0.65,1.59,,,,0
230136,gap,30,1,64,-1.045,-0.66,1.61,,,,0
235092,gap,30,1,64,-1.05,-0.655,1.61,,,,0
240064,gap,30,1,64,-1.04,-0.63,1.605,,,,0
245016,gap,30,1,64,-1.05,-0.655,1.62,,,,0
250024,gap,30,1,64,-1.055,-0.66,1.615,,,,0
255054,gap,30,1,64,-1.045,-0.66,1.6,,,,0
260069,gap,30,1,64,-1.03,-0.645,1.61,,,,0
265046,gap,30,1,64,-1.04,-0.655,1.6,,,,0
270042,gap,30,1,64,-1.045,-0.66,1.605,,,,0
275018,gap,30,1,64,-1.04,-0.645,1.62,,,,0
280988,gap,30,1,64,-1.045,-0.665,1.6,,,,0
285525,gap,30,1,64,-1.065,-0.66,1.61,,,,0
290021,gap,30,1,64,-1.045,-0.65,1.6,,,,0
295003,gap,30,1,64,-1.045,-0.655,1.61,,,,0
300042,gap,30,1,64,-1.045,-0.655,1.61,,,,0
305070,gap,30,1,64,-1.03,-0.655,1.595,,,,0
310091,gap,30,1,64,-1.045,-0.655,1.605,,,,0
315014,gap,30,1,64,-1.04,-0.64,1.6,,,,0
320037,gap,30,1,64,-1.055,-0.635,1.62,,,,0
325020,gap,30,1,64,-1.04,-0.65,1.615,,,,0
330007,gap,30,1,64,-1.055,-0.655,1.61,,,,0
335007,gap,30,1,64,-1.045,-0.655,1.61,,,,0
340010,gap,30,1,64,-1.045,-0.65,1.61,,,,0
345031,gap,30,1,64,-1.06,-0.66,1.61,,,,0
350019,gap,30,1,64,-1.05,-0.655,1.62,,,,0
355003,gap,30,1,64,-1.04,-0.625,1.6,,,,0
360017,gap,30,1,64,-1.045,-0.66,1.595,,,,0
365054,gap,30,1,64,-1.03,-0.67,1.6,,,,0
370028,gap,30,1,64,-1.035,-0.645,1.615,,,,0
375032,gap,30,1,64,-1.05,-0.645,1.595,,,,0
380026,gap,30,1,64,-1.03,-0.655,1.615,,,,0
385017,gap,30,1,64,-1.04,-0.65,1.6,,,,0
390021,gap,30,1,64,-1.05,-0.655,1.605,,,,0
395000,gap,30,1,64,-1.05,-0.645,1.615,,,,0
401010,gap,30,1,64,-1.055,-0.645,1.61,,,,0
405016,gap,30,1,64,-1.07,-0.665,1.61,,,,0
411080,gap,30,1,64,-1.03,-0.635,1.61,,,,0
415018,gap,30,1,64,-1.05,-0.65,1.605,,,,0
420014,gap,30,1,64,-1.04,-0.66,1.61,,,,0
425041,gap,30,1,64,-1.03,-0.635,1.61,,,,0
430962,gap,30,1,64,-1.045,-0.67,1.6,,,,0
435389,gap,30,1,64,-1.04,-0.65,1.61,,,,0
440111,gap,30,1,64,-1.04,-0.665,1.63,,,,0
445012,gap,30,1,64,-1.055,-0.67,1.61,,,,0
450013,gap,30,1,64,-1.05,-0.66,1.615,,,,0
455059,gap,30,1,64,-1.05,-0.65,1.61,,,,0
460024,gap,30,1,64,-1.055,-0.65,1.605,,,,0
465066,gap,30,1,64,-1.06,-0.65,1.605,,,,0
470023,gap,30,1,64,-1.03,-0.645,1.615,,,,0
475024,gap,30,1,64,-1.05,-0.65,1.595,,,,0
481580,gap,30,1,64,-1.05,-0.655,1.6,,,,0
490475,gap,30,1,64,-1.05,-0.66,1.605,,,,0
491281,gap,30,1,64,-1.045,-0.66,1.6,,,,0
495235,gap,30,1,64,-1.06,-0.665,1.59,,,,0
500381,gap,30,1,64,-1.05,-0.66,1.605,,,,30
505385,gap,30,1,64,-1.04,-0.645,1.605,,,,30
510053,gap,30,1,64,-1.045,-0.625,1.605,,,,30
