t_us,state,A_deg,f_hz,status,Fx,Fy,Fz,Mx,My,Mz,target_angle
12436,gap,40,0.5,64,-1.045,-0.67,1.71,0.02155,0.0147,0.01285,0
13326,gap,40,0.5,64,-1.05,-0.675,1.72,0.02165,0.0147,0.01285,0
14043,gap,40,0.5,64,-1.06,-0.675,1.715,0.02165,0.0147,0.0128,0
15052,gap,40,0.5,64,-1.05,-0.67,1.71,0.02155,0.01465,0.0128,0
20673,gap,40,0.5,64,-1.05,-0.675,1.725,0.0216,0.0146,0.0128,0
25122,gap,40,0.5,64,-1.06,-0.66,1.705,0.02155,0.01455,0.0128,0
30031,gap,40,0.5,64,-1.055,-0.66,1.72,0.02155,0.0147,0.0128,0
35158,gap,40,0.5,64,-1.05,-0.65,1.715,0.0215,0.0147,0.0129,0
40475,gap,40,0.5,64,-1.06,-0.675,1.715,0.02145,0.01465,0.01285,0
45859,gap,40,0.5,64,-1.07,-0.655,1.7,0.0216,0.0147,0.0128,0
50775,gap,40,0.5,64,-1.08,-0.67,1.73,0.02155,0.01465,0.01275,0
55754,gap,40,0.5,64,-1.045,-0.65,1.71,0.0216,0.0145,0.01285,0
62262,gap,40,0.5,64,-1.06,-0.675,1.7,0.0216,0.01455,0.01285,0
65366,gap,40,0.5,64,-1.06,-0.665,1.715,0.02155,0.0146,0.01285,0
70308,gap,40,0.5,64,-1.065,-0.68,1.73,0.02155,0.01465,0.01275,0
75244,gap,40,0.5,64,-1.055,-0.67,1.715,0.02155,0.0146,0.0127,0
80118,gap,40,0.5,64,-1.065,-0.67,1.725,0.02155,0.0146,0.01285,0
85150,gap,40,0.5,64,-1.05,-0.665,1.71,0.0214,0.01465,0.01275,0
90159,gap,40,0.5,64,-1.07,-0.675,1.715,0.02155,0.0146,0.0128,0
95122,gap,40,0.5,64,-1.06,-0.665,1.72,0.02165,0.0146,0.01285,0
100037,gap,40,0.5,64,-1.05,-0.675,1.7,0.0216,0.01465,0.0128,0
105016,gap,40,0.5,64,-1.07,-0.66,1.715,0.0215,0.0146,0.0128,0
110057,gap,40,0.5,64,-1.05,-0.655,1.725,0.0216,0.0146,0.0128,0
115001,gap,40,0.5,64,-1.05,-0.655,1.71,0.02155,0.0146,0.0128,0
120009,gap,40,0.5,64,-1.07,-0.675,1.72,0.0216,0.01465,0.0128,0
125028,gap,40,0.5,64,-1.06,-0.67,1.72,0.0215,0.01465,0.0129,0
130004,gap,40,0.5,64,-1.055,-0.68,1.725,0.0216,0.01465,0.01275,0
135268,gap,40,0.5,64,-1.05,-0.655,1.725,0.0216,0.0147,0.01285,0
140020,gap,40,0.5,64,-1.07,-0.665,1.71,0.0216,0.0147,0.01285,0
145647,gap,40,0.5,64,-1.045,-0.68,1.71,0.02155,0.0147,0.0128,0
150814,gap,40,0.5,64,-1.06,-0.67,1.72,0.02155,0.0147,0.0128,0
155108,gap,40,0.5,64,-1.05,-0.69,1.725,0.0216,0.01465,0.01285,0
160293,gap,40,0.5,64,-1.035,-0.64,1.71,0.02155,0.0146,0.0128,0
165089,gap,40,0.5,64,-1.035,-0.675,1.71,0.02165,0.01455,0.01285,0
170044,gap,40,0.5,64,-1.065,-0.66,1.725,0.0216,0.01455,0.0127,0
175005,gap,40,0.5,64,-1.06,-0.66,1.715,0.0216,0.0146,0.0128,0
180080,gap,40,0.5,64,-1.05,-0.695,1.72,0.02165,0.0146,0.01285,0
185022,gap,40,0.5,64,-1.075,-0.67,1.71,0.02165,0.0146,0.01285,0
190682,gap,40,0.5,64,-1.06,-0.66,1.725,0.0216,0.0147,0.01285,0
195128,gap,40,0.5,64,-1.045,-0.66,1.725,0.02165,0.0146,0.0128,0
200017,gap,40,0.5,64,-1.07,-0.68,1.72,0.0215,0.01455,0.0128,0
205011,gap,40,0.5,64,-1.05,-0.675,1.725,0.0215,0.0146,0.01275,0
210049,gap,40,0.5,64,-1.045,-0.67,1.725,0.0215,0.0147,0.01285,0
215693,gap,40,0.5,64,-1.07,-0.675,1.73,0.0215,0.01465,0.01275,0
220633,gap,40,0.5,64,-1.07,-0.67,1.72,0.0215,0.01465,0.01285,0
225658,gap,40,0.5,64,-1.065,-0.68,1.715,0.02155,0.0146,0.0127,0
230090,gap,40,0.5,64,-1.055,-0.685,1.72,0.0216,0.0146,0.0127,0
235073,gap,40,0.5,64,-1.06,-0.68,1.73,0.02165,0.0147,0.0129,0
240041,gap,40,0.5,64,-1.06,-0.68,1.705,0.0217,0.0147,0.0128,0
245080,gap,40,0.5,64,-1.04,-0.675,1.725,0.0217,0.01465,0.0128,0
250008,gap,40,0.5,64,-1.055,-0.685,1.73,0.0217,0.0147,0.01285,0
255088,gap,40,0.5,64,-1.065,-0.66,1.715,0.0216,0.01465,0.0129,0
260043,gap,40,0.5,64,-1.05,-0.675,1.735,0.0216,0.0146,0.0127,0
265430,gap,40,0.5,64,-1.06,-0.645,1.725,0.0216,0.01465,0.01275,0
270015,gap,40,0.5,64,-1.05,-0.66,1.725,0.0216,0.01465,0.0128,0
275430,gap,40,0.5,64,-1.025,-0.675,1.71,0.02165,0.01455,0.0127,0
280055,gap,40,0.5,64,-1.055,-0.665,1.725,0.0216,0.0145,0.0128,0
285157,gap,40,0.5,64,-1.055,-0.665,1.715,0.0216,0.0146,0.0127,0
290123,gap,40,0.5,64,-1.07,-0.65,1.715,0.02165,0.01465,0.01285,0
295052,gap,40,0.5,64,-1.06,-0.65,1.71,0.02165,0.01455,0.0128,0
300072,gap,40,0.5,64,-1.065,-0.665,1.72,0.0217,0.0146,0.0128,0
305034,gap,40,0.5,64,-1.06,-0.675,1.71,0.0216,0.0146,0.0128,0
310853,gap,40,0.5,64,-1.055,-0.655,1.725,0.02155,0.0146,0.01285,0
315998,gap,40,0.5,64,-1.055,-0.66,1.72,0.02155,0.0146,0.01285,0
323838,gap,40,0.5,64,-1.06,-0.69,1.715,0.02155,0.01465,0.0129,0
326794,gap,40,0.5,64,-1.05,-0.68,1.72,0.0216,0.01465,0.01275,0
330135,gap,40,0.5,64,-1.085,-0.67,1.7,0.0216,0.0147,0.01275,0
335046,gap,40,0.5,64,-1.055,-0.665,1.72,0.02165,0.0147,0.01285,0
340260,gap,40,0.5,64,-1.065,-0.67,1.705,0.02165,0.01465,0.01285,0
