Time,P1_x,P1_y,P2_x,P2_y,P3_x,P3_y,angle1to2,angle2to3,jointAngle
0.85085,544.4079,473.05487,725.4759,467.1528,989.29913,730.0573,-1.8669448,44.90006,-46.767002
0.8675333333333334,544.4069,473.05585,725.4823,467.15353,989.3026,730.0559,-1.8669459,44.900146,-46.767094
0.8842166666666667,544.436,473.03235,725.48773,467.14972,989.29315,730.054,-1.8609667,44.901974,-46.76294
0.9009,544.4279,473.02155,725.48785,467.15018,989.2991,730.03723,-1.857323,44.899464,-46.756786
0.9175833333333333,544.47095,473.05347,725.5037,467.1379,989.27185,729.97815,-1.8715723,44.89904,-46.77061
0.9342666666666667,544.484,473.04486,725.5281,467.14258,989.28357,729.9853,-1.8672588,44.900684,-46.767944
0.95095,544.51196,473.1127,725.5372,467.1553,989.36,730.04266,-1.8848788,44.89824,-46.78312
0.9676333333333333,544.5267,473.0725,725.53705,467.15546,989.2954,729.9992,-1.8722767,44.900486,-46.772762
0.9843166666666667,544.50604,473.0641,725.523,467.165,989.2864,730.01965,-1.8665249,44.901127,-46.76765
1.0010000000000001,544.504,473.08826,725.5229,467.16373,989.2642,730.00543,-1.8745527,44.90211,-46.776665
1.0176833333333333,544.52576,473.04343,725.587,467.14987,989.3465,730.04694,-1.8643231,44.90617,-46.770493
1.0343666666666667,544.52655,473.01776,725.57904,467.14877,989.33234,730.03577,-1.8566468,44.90575,-46.762398
1.05105,544.5634,473.0321,725.5796,467.14697,989.33136,730.03467,-1.8621236,44.90599,-46.768116
1.0677333333333334,544.5231,473.04333,725.5776,467.1505,989.3109,730.0451,-1.8641607,44.908745,-46.772907
1.0844166666666666,544.51874,473.0395,725.5807,467.15128,989.3211,730.06195,-1.8626273,44.90973,-46.772358
1.1011,544.54767,473.03085,725.6126,467.1568,989.3394,730.04065,-1.8581207,44.908283,-46.766403
1.1177833333333334,544.5451,473.05328,725.6121,467.15628,989.35004,730.0321,-1.8653536,44.906204,-46.771557
1.1344666666666667,544.56476,473.0686,725.6046,467.17178,989.38416,730.0508,-1.8655753,44.902027,-46.7676
1.1511500000000001,544.5874,473.0802,725.6255,467.17075,989.4242,730.0889,-1.8695879,44.904217,-46.773804
1.1678333333333333,544.5718,473.05307,725.63916,467.18118,989.4133,730.068,-1.8574106,44.90346,-46.76087
1.1845166666666667,544.56305,473.03693,725.61945,467.18228,989.39984,730.0538,-1.8520725,44.901115,-46.75319
1.2012,544.57855,473.0684,725.6598,467.17563,989.4014,730.05023,-1.8638663,44.905663,-46.769527
1.2178833333333334,544.58124,473.03354,725.64264,467.15845,989.4012,730.058,-1.8584847,44.906544,-46.76503
1.2345666666666666,544.54034,473.02905,725.67584,467.18185,989.4063,730.0456,-1.8489114,44.905693,-46.754604
1.25125,544.5231,473.02994,725.66736,467.18015,989.40955,730.03796,-1.8496413,44.903774,-46.753414
1.2679333333333334,544.54315,473.09177,725.65393,467.17288,989.39197,730.04285,-1.871818,44.905552,-46.77737
1.2846166666666667,544.5499,473.0536,725.661,467.1734,989.3715,730.03406,-1.8595859,44.907524,-46.76711
1.3013000000000001,544.5617,473.05334,725.6702,467.17862,989.36914,730.03516,-1.8578858,44.908337,-46.766224
1.3179833333333333,544.5617,473.0557,725.6675,467.1781,989.3893,730.0413,-1.8588207,44.906578,-46.7654
1.3346666666666667,544.5496,473.03165,725.7205,467.1735,989.40594,730.0449,-1.8520114,44.911427,-46.76344
1.35135,544.5315,473.06192,725.7064,467.19205,989.436,730.02954,-1.8556725,44.90293,-46.758602
1.3680333333333334,544.54926,473.0341,725.7055,467.20172,989.44543,730.0268,-1.8440137,44.90045,-46.744465
1.3847166666666666,544.55695,473.04025,725.67676,467.18204,989.419,730.038,-1.8525528,44.903572,-46.756126
1.4014,544.59607,473.0436,725.6824,467.16287,989.44336,730.0526,-1.8600138,44.905212,-46.765224
1.4180833333333334,544.6369,473.0431,725.6833,467.1637,989.432,730.057,-1.8599992,44.906933,-46.766933
